column,missing_rate,outlier_count
VendorID,0.0,759147.0
tpep_pickup_datetime,0.0,
tpep_dropoff_datetime,0.0,
passenger_count,0.2921048117138524,485837.0
trip_distance,0.0,421950.0
RatecodeID,0.2921048117138524,246336.0
store_and_fwd_flag,0.2921048117138524,
PULocationID,0.0,0.0
DOLocationID,0.0,0.0
payment_type,0.0,73041.0
fare_amount,0.0,266087.0
extra,0.0,38690.0
mta_tax,0.0,86159.0
tip_amount,0.0,203082.0
tolls_amount,0.0,240709.0
improvement_surcharge,0.0,155481.0
total_amount,0.0,347009.0
congestion_surcharge,0.2921048117138524,333572.0
Airport_fee,0.2921048117138524,237602.0
cbd_congestion_fee,0.0,0.0
